iter	Passed	Remaining
0	125	125016
1	126	63013
2	127	42409
3	129	32196
4	130	25997
5	131	21835
6	132	18854
7	133	16614
8	134	14863
9	136	13477
10	137	12337
11	138	11405
12	140	10632
13	141	9931
14	143	9451
15	145	8928
16	146	8448
17	146	8014
18	147	7629
19	148	7285
20	149	6979
21	150	6711
22	151	6448
23	152	6210
24	153	5991
25	154	5789
26	155	5599
27	157	5455
28	158	5306
29	159	5159
30	160	5016
31	161	4883
32	162	4759
33	163	4640
34	164	4531
35	165	4428
36	166	4326
37	167	4232
38	168	4142
39	169	4058
40	170	3979
41	171	3918
42	173	3865
43	174	3797
44	175	3730
45	176	3667
46	177	3602
47	178	3541
48	179	3481
49	180	3423
50	181	3368
51	181	3315
52	182	3264
53	183	3216
54	184	3170
55	186	3137
56	187	3100
57	188	3059
58	189	3024
59	190	2988
60	191	2950
61	192	2915
62	193	2881
63	194	2846
64	195	2810
65	196	2778
66	197	2745
67	198	2714
68	200	2702
69	201	2679
70	202	2650
71	203	2623
72	204	2597
73	205	2570
74	206	2543
75	207	2518
76	207	2492
77	208	2466
78	209	2443
79	210	2419
80	211	2396
81	212	2374
82	212	2348
83	213	2327
84	214	2311
85	216	2297
86	217	2277
87	217	2259
88	219	2241
89	220	2226
90	221	2208
91	221	2190
92	222	2173
93	223	2156
94	224	2139
95	225	2123
96	226	2107
97	227	2090
98	229	2086
99	231	2081
100	232	2068
101	233	2054
102	234	2041
103	235	2029
104	236	2016
105	237	2004
106	238	1991
107	239	1978
108	240	1966
109	241	1954
110	242	1943
111	244	1937
112	245	1927
113	246	1916
114	247	1905
115	248	1893
116	249	1880
117	250	1869
118	251	1858
119	251	1847
120	252	1837
121	253	1826
122	254	1816
123	255	1805
124	256	1796
125	257	1786
126	258	1777
127	259	1769
128	260	1760
129	261	1751
130	262	1741
131	263	1732
132	264	1724
133	265	1715
134	266	1707
135	267	1698
136	268	1690
137	269	1681
138	270	1673
139	271	1665
140	272	1658
141	273	1651
142	274	1646
143	275	1640
144	276	1632
145	277	1625
146	278	1617
147	279	1610
148	280	1603
149	281	1595
150	282	1588
151	283	1581
152	284	1574
153	285	1568
154	286	1562
155	287	1558
156	289	1552
157	290	1545
158	291	1539
159	292	1533
160	292	1525
161	293	1518
162	294	1512
163	295	1506
164	296	1499
165	297	1493
166	298	1487
167	299	1481
168	300	1475
169	301	1469
170	301	1463
171	303	1459
172	304	1454
173	305	1450
174	307	1447
175	308	1444
176	309	1440
177	310	1435
178	311	1430
179	312	1424
180	313	1420
181	314	1415
182	315	1410
183	317	1406
184	318	1403
185	319	1399
186	321	1395
187	322	1391
188	323	1386
189	324	1381
190	325	1377
191	326	1374
192	327	1370
193	328	1365
194	329	1360
195	330	1355
196	331	1350
197	332	1346
198	333	1343
199	335	1341
200	336	1338
201	337	1334
202	338	1329
203	339	1324
204	340	1320
205	341	1316
206	342	1312
207	343	1308
208	344	1303
209	345	1299
210	346	1295
211	347	1291
212	348	1288
213	349	1284
214	350	1280
215	351	1277
216	352	1273
217	353	1269
218	354	1264
219	355	1261
220	356	1257
221	357	1253
222	358	1250
223	359	1246
224	361	1245
225	362	1241
226	363	1239
227	365	1236
228	366	1233
229	367	1231
230	368	1228
231	370	1226
232	371	1223
233	372	1220
234	374	1217
235	375	1214
236	376	1211
237	377	1208
238	378	1206
239	380	1204
240	381	1200
241	382	1198
242	383	1195
243	384	1192
244	385	1189
245	386	1186
246	387	1182
247	389	1179
248	390	1176
249	391	1173
250	392	1170
251	393	1167
252	394	1165
253	395	1162
254	396	1159
255	397	1156
256	399	1153
257	400	1151
258	401	1148
259	402	1145
260	403	1142
261	404	1139
262	405	1136
263	406	1133
264	407	1131
265	409	1129
266	410	1127
267	411	1124
268	412	1122
269	413	1119
270	415	1117
271	416	1114
272	417	1111
273	418	1109
274	419	1106
275	420	1103
276	421	1101
277	423	1099
278	424	1097
279	426	1095
280	427	1092
281	428	1090
282	429	1087
283	430	1084
284	431	1082
285	432	1079
286	433	1076
287	434	1073
288	435	1071
